# meta_json: {"atom_symbols": ["N", "Ta"], "lattice_vectors_override_angstrom": null, "lattice_vectors_raw": [[1.4699710891, -2.5460646119, 0.0], [1.4699710891, 2.5460646119, 0.0], [0.0, 0.0, 2.89017508]], "source_format": "phonopy_force_constants", "thickness_angstrom": null, "thickness_direction": null, "transport_direction": 3, "transverse_area_m2": 7.485282740947223e-20}
# omega_qe	freq_thz	freq_cm^-1	transmission	transmission_per_m2
0.0000000000e+00	0.00000000	0.00000000	0.000000000000e+00	0.000000000000e+00
3.8713603560e-05	0.12736164	4.24832693	1.559086439243e-02	2.082869135609e+17
7.7427207119e-05	0.25472327	8.49665387	1.559537814753e-02	2.083472152924e+17
1.1614081068e-04	0.38208491	12.74498080	1.559910787580e-02	2.083970427793e+17
1.5485441424e-04	0.50944655	16.99330774	1.559873150627e-02	2.083920146522e+17
1.9356801780e-04	0.63680819	21.24163467	1.559433942218e-02	2.083333383904e+17
2.3228162136e-04	0.76416982	25.48996161	2.333980696337e-02	3.118092899242e+17
2.7099522492e-04	0.89153146	29.73828854	3.887697913502e-02	5.193788996419e+17
3.0970882848e-04	1.01889310	33.98661548	4.661587126031e-02	6.227670065862e+17
3.4842243204e-04	1.14625474	38.23494241	5.435568597666e-02	7.261674389307e+17
3.8713603560e-04	1.27361637	42.48326935	6.993179276595e-02	9.342571975724e+17
4.2584963916e-04	1.40097801	46.73159628	8.535076739396e-02	1.140247741439e+18
4.6456324271e-04	1.52833965	50.97992322	9.317530698738e-02	1.244780059912e+18
5.0327684627e-04	1.65570129	55.22825015	1.085262359792e-01	1.449861544782e+18
5.4199044983e-04	1.78306292	59.47657709	1.087820042919e-01	1.453278494035e+18
5.8070405339e-04	1.91042456	63.72490402	1.316396987559e-01	1.758646978501e+18
6.1941765695e-04	2.03778620	67.97323096	1.320672457382e-01	1.764358813272e+18
6.5813126051e-04	2.16514784	72.22155789	1.690402793975e-01	2.258301860433e+18
6.9684486407e-04	2.29250947	76.46988483	2.014840685936e-01	2.691736245197e+18
7.3555846763e-04	2.41987111	80.71821176	2.173082273715e-01	2.903139866484e+18
7.7427207119e-04	2.54723275	84.96653870	2.404448067388e-01	3.212234127422e+18
8.1298567475e-04	2.67459439	89.21486563	2.637285614995e-01	3.523294585210e+18
8.5169927831e-04	2.80195602	93.46319257	2.717191060927e-01	3.630044655579e+18
8.9041288187e-04	2.92931766	97.71151950	3.253189909119e-01	4.346114932069e+18
9.2912648543e-04	3.05667930	101.95984644	3.580205608161e-01	4.782993150781e+18
9.6784008899e-04	3.18404094	106.20817337	4.132750364181e-01	5.521168013566e+18
1.0065536925e-03	3.31140257	110.45650031	4.383406054137e-01	5.856032705562e+18
1.0452672961e-03	3.43876421	114.70482724	4.549916796029e-01	6.078483543634e+18
1.0839808997e-03	3.56612585	118.95315418	4.825726684366e-01	6.446953109690e+18
1.1226945032e-03	3.69348749	123.20148111	5.093312587161e-01	6.804435802136e+18
1.1614081068e-03	3.82084912	127.44980805	5.912196436613e-01	7.898427676313e+18
1.2001217103e-03	3.94821076	131.69813498	6.742089362436e-01	9.007127179784e+18
1.2388353139e-03	4.07557240	135.94646192	6.885213000113e-01	9.198333901869e+18
1.2775489175e-03	4.20293403	140.19478885	7.424665837032e-01	9.919018551452e+18
1.3162625210e-03	4.33029567	144.44311579	7.839548599012e-01	1.047328320162e+19
1.3549761246e-03	4.45765731	148.69144272	8.107764794963e-01	1.083160793728e+19
1.3936897281e-03	4.58501895	152.93976966	8.615350871482e-01	1.150972003282e+19
1.4324033317e-03	4.71238058	157.18809659	9.322070128836e-01	1.245386507291e+19
1.4711169353e-03	4.83974222	161.43642353	9.598054400093e-01	1.282256760668e+19
1.5098305388e-03	4.96710386	165.68475046	9.998503089019e-01	1.335754898652e+19
1.5485441424e-03	5.09446550	169.93307740	9.991524400087e-01	1.334822577299e+19
1.5872577459e-03	5.22182713	174.18140433	1.079113890026e+00	1.441647466598e+19
1.6259713495e-03	5.34918877	178.42973127	1.208730800687e+00	1.614809810824e+19
1.6646849531e-03	5.47655041	182.67805820	1.265510104608e+00	1.690664398935e+19
1.7033985566e-03	5.60391205	186.92638514	1.315745012470e+00	1.757775969199e+19
1.7421121602e-03	5.73127368	191.17471207	1.239849418754e+00	1.656382880464e+19
1.7808257637e-03	5.85863532	195.42303901	1.087449191965e+00	1.452783053894e+19
1.8195393673e-03	5.98599696	199.67136594	1.036289829816e+00	1.384436454414e+19
1.8582529709e-03	6.11335860	203.91969288	9.203870460705e-01	1.229595564955e+19
1.8969665744e-03	6.24072023	208.16801981	8.998385937484e-01	1.202143759816e+19
1.9356801780e-03	6.36808187	212.41634675	8.464620115330e-01	1.130835054369e+19
1.9743937815e-03	6.49544351	216.66467368	8.234197697144e-01	1.100051658984e+19
2.0131073851e-03	6.62280515	220.91300062	7.671492609560e-01	1.024876798253e+19
2.0518209887e-03	6.75016678	225.16132755	6.352104117696e-01	8.486124489257e+18
2.0905345922e-03	6.87752842	229.40965449	6.536643798320e-01	8.732661175993e+18
2.1292481958e-03	7.00489006	233.65798142	7.328175936161e-01	9.790112397589e+18
2.1679617993e-03	7.13225170	237.90630836	1.150105902457e+00	1.536489591991e+19
2.2066754029e-03	7.25961333	242.15463529	1.059615056318e+00	1.415597904567e+19
2.2453890065e-03	7.38697497	246.40296223	8.967209397216e-01	1.197978714707e+19
2.2841026100e-03	7.51433661	250.65128916	6.809937246755e-01	9.097768891884e+18
2.3228162136e-03	7.64169825	254.89961610	5.444676143152e-01	7.273841659137e+18
2.3615298171e-03	7.76905988	259.14794303	3.933472266519e-01	5.254941466675e+18
2.4002434207e-03	7.89642152	263.39626997	2.843201691766e-01	3.798389172679e+18
2.4389570243e-03	8.02378316	267.64459690	1.643891704315e-01	2.196165143264e+18
2.4776706278e-03	8.15114480	271.89292384	6.840397369169e-02	9.138462241045e+17
2.5163842314e-03	8.27850643	276.14125077	2.803425158220e-22	3.745249518611e-03
2.5550978349e-03	8.40586807	280.38957771	4.114144426288e-52	5.496311320055e-33
2.5938114385e-03	8.53322971	284.63790464	1.807305091633e-68	2.414478055380e-49
2.6325250421e-03	8.66059134	288.88623158	2.709521002136e-81	3.619797803112e-62
2.6712386456e-03	8.78795298	293.13455851	2.665410482003e-92	3.560868138517e-73
2.7099522492e-03	8.91531462	297.38288545	3.415465251045e-102	4.562907466890e-83
2.7486658527e-03	9.04267626	301.63121238	2.414326213120e-111	3.225430884411e-92
2.7873794563e-03	9.17003789	305.87953932	6.247293607807e-120	8.346102377179e-101
2.8260930598e-03	9.29739953	310.12786625	7.265813294629e-128	9.706798722355e-109
2.8648066634e-03	9.42476117	314.37619319	3.804082444451e-135	5.082082502563e-116
2.9035202670e-03	9.55212281	318.62452012	4.397193006145e-142	5.874451451367e-123
2.9422338705e-03	9.67948444	322.87284706	8.290777689268e-149	1.107610490638e-129
2.9809474741e-03	9.80684608	327.12117399	2.707341088094e-155	3.616885536313e-136
3.0196610776e-03	9.93420772	331.36950093	3.141023966407e-161	4.196266293622e-142
3.0583746812e-03	10.06156936	335.61782786	3.305880571708e-166	4.416507279844e-147
3.0970882848e-03	10.18893099	339.86615480	1.718687810978e-168	2.296089366906e-149
3.1358018883e-03	10.31629263	344.11448173	6.416865245883e-168	8.572642434441e-149
3.1745154919e-03	10.44365427	348.36280867	2.639200600943e-167	3.525852920031e-148
3.2132290954e-03	10.57101591	352.61113560	1.137983456481e-166	1.520294551141e-147
3.2519426990e-03	10.69837754	356.85946254	5.145081416002e-166	6.873596621617e-147
3.2906563026e-03	10.82573918	361.10778947	2.442785404985e-165	3.263451080641e-146
3.3293699061e-03	10.95310082	365.35611641	1.219786672824e-164	1.629579957148e-145
3.3680835097e-03	11.08046246	369.60444334	6.416445097142e-164	8.572081134680e-145
3.4067971132e-03	11.20782409	373.85277028	3.561761960984e-163	4.758353270345e-144
3.4455107168e-03	11.33518573	378.10109721	2.090198007083e-162	2.792410226067e-143
3.4842243204e-03	11.46254737	382.34942415	1.299279452065e-161	1.735778723438e-142
3.5229379239e-03	11.58990901	386.59775108	8.572409635211e-161	1.145235247871e-141
3.5616515275e-03	11.71727064	390.84607802	6.016412003904e-160	8.037654971925e-141
3.6003651310e-03	11.84463228	395.09440495	4.502118896429e-159	6.014627706447e-140
3.6390787346e-03	11.97199392	399.34273189	3.600959039862e-158	4.810718799122e-139
3.6777923382e-03	12.09935556	403.59105882	3.086674977072e-157	4.123658496140e-138
3.7165059417e-03	12.22671719	407.83938576	2.843570042882e-156	3.798881273150e-137
3.7552195453e-03	12.35407883	412.08771269	2.823920917110e-155	3.772630927703e-136
3.7939331488e-03	12.48144047	416.33603963	3.032959189931e-154	4.051896628219e-135
3.8326467524e-03	12.60880210	420.58436656	3.535245856010e-153	4.722928950527e-134
3.8713603560e-03	12.73616374	424.83269350	4.488892496998e-152	5.996957833593e-133
3.9100739595e-03	12.86352538	429.08102043	6.234163849919e-151	8.328561613064e-132
3.9487875631e-03	12.99088702	433.32934737	9.511035945971e-150	1.270631487832e-130
3.9875011666e-03	13.11824865	437.57767430	1.601518738494e-148	2.139556772830e-129
4.0262147702e-03	13.24561029	441.82600124	2.991603363038e-147	3.996647109498e-128
4.0649283738e-03	13.37297193	446.07432817	6.233683093708e-146	8.327919344460e-127
4.1036419773e-03	13.50033357	450.32265511	1.457685243371e-144	1.947401713228e-125
4.1423555809e-03	13.62769520	454.57098204	3.850375398537e-143	5.143927800448e-124
4.1810691844e-03	13.75505684	458.81930898	1.157080623367e-141	1.545807504421e-122
4.2197827880e-03	13.88241848	463.06763591	3.986899195957e-140	5.326317433739e-121
4.2584963916e-03	14.00978012	467.31596285	1.590009325767e-138	2.124180716741e-119
4.2972099951e-03	14.13714175	471.56428978	1.013075433880e-128	1.353423068895e-109
4.3359235987e-03	14.26450339	475.81261672	2.021009591403e-112	2.699977624556e-93
4.3746372022e-03	14.39186503	480.06094365	3.672983418059e-90	4.906940118596e-71
4.4133508058e-03	14.51922667	484.30927059	1.345462253645e-52	1.797476862544e-33
4.4520644094e-03	14.64658830	488.55759752	1.348796488209e-02	1.801931249478e+17
4.4907780129e-03	14.77394994	492.80592446	6.564925445242e-02	8.770444180191e+17
4.5294916165e-03	14.90131158	497.05425139	9.423597383949e-02	1.258950090475e+18
4.5682052200e-03	15.02867322	501.30257833	1.218651454789e-01	1.628063357076e+18
4.6069188236e-03	15.15603485	505.55090526	1.481173004819e-01	1.978780302735e+18
4.6456324271e-03	15.28339649	509.79923220	2.152408792015e-01	2.875521027737e+18
4.6843460307e-03	15.41075813	514.04755913	2.685933811565e-01	3.588286380782e+18
4.7230596343e-03	15.53811977	518.29588607	2.534748188707e-01	3.386309210260e+18
4.7617732378e-03	15.66548140	522.54421300	3.250049340056e-01	4.341919273506e+18
4.8004868414e-03	15.79284304	526.79253994	3.165488124675e-01	4.228949305227e+18
4.8392004449e-03	15.92020468	531.04086687	3.728347062343e-01	4.980903449308e+18
4.8779140485e-03	16.04756632	535.28919381	3.895951008643e-01	5.204814759141e+18
4.9166276521e-03	16.17492795	539.53752074	4.157686595693e-01	5.554481693723e+18
4.9553412556e-03	16.30228959	543.78584768	3.421835725426e-01	4.571418133222e+18
4.9940548592e-03	16.42965123	548.03417461	4.028957329469e-01	5.382505202414e+18
5.0327684627e-03	16.55701286	552.28250155	5.060064413066e-01	6.760017741729e+18
5.0714820663e-03	16.68437450	556.53082848	5.502030063705e-01	7.350463909141e+18
5.1101956699e-03	16.81173614	560.77915542	7.160989076942e-01	9.566758297277e+18
5.1489092734e-03	16.93909778	565.02748235	8.584917184072e-01	1.146906199964e+19
5.1876228770e-03	17.06645941	569.27580929	8.374613397397e-01	1.118810562971e+19
5.2263364805e-03	17.19382105	573.52413622	8.544555069752e-01	1.141514003607e+19
5.2650500841e-03	17.32118269	577.77246316	9.913624872662e-01	1.324415551924e+19
5.3037636877e-03	17.44854433	582.02079009	1.052957686597e+00	1.406703959005e+19
5.3424772912e-03	17.57590596	586.26911703	8.572729071006e-01	1.145277923052e+19
5.3811908948e-03	17.70326760	590.51744396	7.252601791869e-01	9.689148750781e+18
5.4199044983e-03	17.83062924	594.76577090	4.217963679660e-01	5.635009158153e+18
5.4586181019e-03	17.95799088	599.01409783	3.569039971832e-01	4.768076364448e+18
5.4973317055e-03	18.08535251	603.26242477	9.646854972588e-02	1.288776296962e+18
5.5360453090e-03	18.21271415	607.51075170	9.628275101620e-02	1.286294110034e+18
5.5747589126e-03	18.34007579	611.75907864	9.550616584697e-02	1.275919282575e+18
5.6134725161e-03	18.46743743	616.00740557	5.488409556636e-02	7.332267526265e+17
5.6521861197e-03	18.59479906	620.25573251	2.760496213686e-02	3.687898385702e+17
5.6908997233e-03	18.72216070	624.50405944	2.756806650722e-02	3.682969296057e+17
5.7296133268e-03	18.84952234	628.75238638	5.411880818106e-02	7.230028584627e+17
5.7683269304e-03	18.97688398	633.00071331	2.708909595809e-02	3.618980991847e+17
