# temperature_K	conductance_x_W_per_K	conductance_y_W_per_K
0.00000000	0.000000000000e+00	0.000000000000e+00
2.00000000	2.197805113673e-13	6.676257488357e-14
4.00000000	9.004087242675e-13	3.637270211290e-13
6.00000000	1.976710376417e-12	8.913215514076e-13
8.00000000	3.403520719228e-12	1.614458157463e-12
10.00000000	5.159754181913e-12	2.512911957646e-12
12.00000000	7.241328629404e-12	3.562446699924e-12
14.00000000	9.645869769425e-12	4.735721243087e-12
16.00000000	1.236190252117e-11	6.008017245228e-12
18.00000000	1.536574918491e-11	7.362684130480e-12
20.00000000	1.862382888497e-11	8.792290891387e-12
22.00000000	2.209710229828e-11	1.029620442418e-11
24.00000000	2.574541159073e-11	1.187699282461e-11
26.00000000	2.953065856740e-11	1.353734029438e-11
28.00000000	3.341861717063e-11	1.527809140388e-11
30.00000000	3.737962079428e-11	1.709738134894e-11
32.00000000	4.138850402244e-11	1.899055591839e-11
34.00000000	4.542414810006e-11	2.095056222195e-11
36.00000000	4.946888387685e-11	2.296855842239e-11
38.00000000	5.350790538625e-11	2.503457375006e-11
40.00000000	5.752876777392e-11	2.713811984552e-11
42.00000000	6.152099083219e-11	2.926870435869e-11
44.00000000	6.547576023910e-11	3.141622994432e-11
46.00000000	6.938570606152e-11	3.357128082648e-11
48.00000000	7.324473574385e-11	3.572530917733e-11
50.00000000	7.704790174500e-11	3.787073790678e-11
52.00000000	8.079128893979e-11	4.000099735801e-11
54.00000000	8.447191197199e-11	4.211051236002e-11
56.00000000	8.808761701331e-11	4.419465406993e-11
58.00000000	9.163698553683e-11	4.624966864749e-11
60.00000000	9.511923978350e-11	4.827259240007e-11
62.00000000	9.853415077350e-11	5.026116081788e-11
64.00000000	1.018819502219e-10	5.221371698352e-11
66.00000000	1.051632477799e-10	5.412912322033e-11
68.00000000	1.083789548187e-10	5.600667853632e-11
70.00000000	1.115302156380e-10	5.784604339667e-11
72.00000000	1.146183466072e-10	5.964717258325e-11
74.00000000	1.176447833932e-10	6.141025633254e-11
76.00000000	1.206110361251e-10	6.313566954632e-11
78.00000000	1.235186521107e-10	6.482392860584e-11
80.00000000	1.263691855443e-10	6.647565516032e-11
82.00000000	1.291641735406e-10	6.809154617741e-11
84.00000000	1.319051177684e-10	6.967234951618e-11
86.00000000	1.345934709453e-10	7.121884429529e-11
88.00000000	1.372306274705e-10	7.273182536664e-11
90.00000000	1.398179175129e-10	7.421209125874e-11
92.00000000	1.423566039264e-10	7.566043501589e-11
94.00000000	1.448478814283e-10	7.707763742488e-11
96.00000000	1.472928775434e-10	7.846446218535e-11
98.00000000	1.496926548820e-10	7.982165264174e-11
100.00000000	1.520482143876e-10	8.114992975187e-11
102.00000000	1.543604992474e-10	8.244999101882e-11
104.00000000	1.566303992131e-10	8.372251015900e-11
106.00000000	1.588587551305e-10	8.496813731944e-11
108.00000000	1.610463635164e-10	8.618749969243e-11
110.00000000	1.631939810597e-10	8.738120240541e-11
112.00000000	1.653023289534e-10	8.854982958920e-11
114.00000000	1.673720969911e-10	8.969394554897e-11
116.00000000	1.694039473838e-10	9.081409597986e-11
118.00000000	1.713985182672e-10	9.191080918339e-11
120.00000000	1.733564268880e-10	9.298459725278e-11
122.00000000	1.752782724645e-10	9.403595720454e-11
124.00000000	1.771646387284e-10	9.506537204126e-11
126.00000000	1.790160961576e-10	9.607331173633e-11
128.00000000	1.808332039178e-10	9.706023413603e-11
130.00000000	1.826165115316e-10	9.802658577769e-11
132.00000000	1.843665602942e-10	9.897280262524e-11
134.00000000	1.860838844607e-10	9.989931072545e-11
136.00000000	1.877690122236e-10	1.008065267892e-10
138.00000000	1.894224665052e-10	1.016948587031e-10
140.00000000	1.910447655830e-10	1.025647059770e-10
142.00000000	1.926364235707e-10	1.034164601342e-10
144.00000000	1.941979507714e-10	1.042505050485e-10
146.00000000	1.957298539216e-10	1.050672172358e-10
148.00000000	1.972326363408e-10	1.058669661048e-10
150.00000000	1.987067980029e-10	1.066501141717e-10
152.00000000	2.001528355405e-10	1.074170172446e-10
154.00000000	2.015712421960e-10	1.081680245812e-10
156.00000000	2.029625077276e-10	1.089034790245e-10
158.00000000	2.043271182820e-10	1.096237171193e-10
160.00000000	2.056655562401e-10	1.103290692133e-10
162.00000000	2.069783000432e-10	1.110198595459e-10
164.00000000	2.082658240064e-10	1.116964063262e-10
166.00000000	2.095285981244e-10	1.123590218035e-10
168.00000000	2.107670878727e-10	1.130080123315e-10
170.00000000	2.119817540107e-10	1.136436784278e-10
172.00000000	2.131730523870e-10	1.142663148303e-10
174.00000000	2.143414337513e-10	1.148762105521e-10
176.00000000	2.154873435743e-10	1.154736489348e-10
178.00000000	2.166112218779e-10	1.160589077017e-10
180.00000000	2.177135030753e-10	1.166322590113e-10
182.00000000	2.187946158243e-10	1.171939695120e-10
184.00000000	2.198549828923e-10	1.177443003976e-10
186.00000000	2.208950210351e-10	1.182835074647e-10
188.00000000	2.219151408886e-10	1.188118411715e-10
190.00000000	2.229157468735e-10	1.193295466991e-10
192.00000000	2.238972371139e-10	1.198368640135e-10
194.00000000	2.248600033683e-10	1.203340279311e-10
196.00000000	2.258044309734e-10	1.208212681848e-10
198.00000000	2.267308987998e-10	1.212988094925e-10
200.00000000	2.276397792204e-10	1.217668716274e-10
202.00000000	2.285314380889e-10	1.222256694901e-10
204.00000000	2.294062347294e-10	1.226754131814e-10
206.00000000	2.302645219366e-10	1.231163080775e-10
208.00000000	2.311066459848e-10	1.235485549055e-10
210.00000000	2.319329466462e-10	1.239723498211e-10
212.00000000	2.327437572175e-10	1.243878844858e-10
214.00000000	2.335394045544e-10	1.247953461462e-10
216.00000000	2.343202091128e-10	1.251949177132e-10
218.00000000	2.350864849974e-10	1.255867778412e-10
220.00000000	2.358385400154e-10	1.259711010093e-10
222.00000000	2.365766757369e-10	1.263480576005e-10
224.00000000	2.373011875591e-10	1.267178139827e-10
226.00000000	2.380123647762e-10	1.270805325886e-10
228.00000000	2.387104906524e-10	1.274363719960e-10
230.00000000	2.393958424994e-10	1.277854870071e-10
232.00000000	2.400686917567e-10	1.281280287283e-10
234.00000000	2.407293040746e-10	1.284641446484e-10
236.00000000	2.413779394001e-10	1.287939787173e-10
238.00000000	2.420148520647e-10	1.291176714229e-10
240.00000000	2.426402908741e-10	1.294353598684e-10
242.00000000	2.432544991989e-10	1.297471778474e-10
244.00000000	2.438577150676e-10	1.300532559196e-10
246.00000000	2.444501712595e-10	1.303537214842e-10
248.00000000	2.450320953987e-10	1.306486988530e-10
250.00000000	2.456037100487e-10	1.309383093226e-10
252.00000000	2.461652328072e-10	1.312226712447e-10
254.00000000	2.467168764010e-10	1.315019000963e-10
256.00000000	2.472588487806e-10	1.317761085477e-10
258.00000000	2.477913532148e-10	1.320454065304e-10
260.00000000	2.483145883847e-10	1.323099013028e-10
262.00000000	2.488287484777e-10	1.325696975153e-10
264.00000000	2.493340232798e-10	1.328248972741e-10
266.00000000	2.498305982683e-10	1.330756002032e-10
268.00000000	2.503186547027e-10	1.333219035063e-10
270.00000000	2.507983697155e-10	1.335639020263e-10
272.00000000	2.512699164009e-10	1.338016883039e-10
274.00000000	2.517334639036e-10	1.340353526355e-10
276.00000000	2.521891775056e-10	1.342649831292e-10
278.00000000	2.526372187119e-10	1.344906657597e-10
280.00000000	2.530777453354e-10	1.347124844221e-10
282.00000000	2.535109115797e-10	1.349305209847e-10
284.00000000	2.539368681217e-10	1.351448553401e-10
286.00000000	2.543557621915e-10	1.353555654552e-10
288.00000000	2.547677376519e-10	1.355627274207e-10
290.00000000	2.551729350762e-10	1.357664154983e-10
292.00000000	2.555714918244e-10	1.359667021680e-10
294.00000000	2.559635421183e-10	1.361636581730e-10
296.00000000	2.563492171146e-10	1.363573525647e-10
298.00000000	2.567286449775e-10	1.365478527455e-10
300.00000000	2.571019509486e-10	1.367352245116e-10
302.00000000	2.574692574168e-10	1.369195320938e-10
304.00000000	2.578306839854e-10	1.371008381980e-10
306.00000000	2.581863475386e-10	1.372792040438e-10
308.00000000	2.585363623067e-10	1.374546894035e-10
310.00000000	2.588808399289e-10	1.376273526386e-10
312.00000000	2.592198895160e-10	1.377972507362e-10
314.00000000	2.595536177107e-10	1.379644393444e-10
316.00000000	2.598821287473e-10	1.381289728067e-10
318.00000000	2.602055245094e-10	1.382909041955e-10
320.00000000	2.605239045865e-10	1.384502853445e-10
322.00000000	2.608373663299e-10	1.386071668805e-10
324.00000000	2.611460049060e-10	1.387615982547e-10
326.00000000	2.614499133499e-10	1.389136277724e-10
328.00000000	2.617491826165e-10	1.390633026224e-10
330.00000000	2.620439016307e-10	1.392106689057e-10
332.00000000	2.623341573370e-10	1.393557716630e-10
334.00000000	2.626200347474e-10	1.394986549022e-10
336.00000000	2.629016169878e-10	1.396393616242e-10
338.00000000	2.631789853439e-10	1.397779338487e-10
340.00000000	2.634522193061e-10	1.399144126396e-10
342.00000000	2.637213966123e-10	1.400488381283e-10
344.00000000	2.639865932909e-10	1.401812495384e-10
346.00000000	2.642478837017e-10	1.403116852079e-10
348.00000000	2.645053405767e-10	1.404401826119e-10
350.00000000	2.647590350590e-10	1.405667783844e-10
352.00000000	2.650090367412e-10	1.406915083392e-10
354.00000000	2.652554137033e-10	1.408144074910e-10
356.00000000	2.654982325485e-10	1.409355100749e-10
358.00000000	2.657375584391e-10	1.410548495665e-10
360.00000000	2.659734551311e-10	1.411724587005e-10
362.00000000	2.662059850080e-10	1.412883694892e-10
364.00000000	2.664352091138e-10	1.414026132407e-10
366.00000000	2.666611871849e-10	1.415152205764e-10
368.00000000	2.668839776816e-10	1.416262214479e-10
370.00000000	2.671036378185e-10	1.417356451535e-10
372.00000000	2.673202235942e-10	1.418435203546e-10
374.00000000	2.675337898205e-10	1.419498750913e-10
376.00000000	2.677443901505e-10	1.420547367978e-10
378.00000000	2.679520771058e-10	1.421581323169e-10
380.00000000	2.681569021041e-10	1.422600879149e-10
382.00000000	2.683589154847e-10	1.423606292956e-10
384.00000000	2.685581665340e-10	1.424597816138e-10
386.00000000	2.687547035110e-10	1.425575694889e-10
388.00000000	2.689485736706e-10	1.426540170177e-10
390.00000000	2.691398232880e-10	1.427491477875e-10
392.00000000	2.693284976813e-10	1.428429848876e-10
394.00000000	2.695146412338e-10	1.429355509221e-10
396.00000000	2.696982974161e-10	1.430268680212e-10
398.00000000	2.698795088076e-10	1.431169578526e-10
400.00000000	2.700583171166e-10	1.432058416325e-10
