# freq_cm^-1	transmission_per_m2_x	transmission_per_m2_y
0.00000000	0.000000000000e+00	0.000000000000e+00
4.00045948	1.843135981372e+18	6.861527498040e+17
8.00091897	3.050305504767e+18	1.240474460591e+18
12.00137845	5.072992135471e+18	4.148576641805e+18
16.00183793	6.123281323486e+18	4.014343387105e+18
20.00229742	8.160649455243e+18	4.068470169648e+18
24.00275690	8.193749840004e+18	6.485365328039e+18
28.00321638	9.226158340770e+18	6.784318254739e+18
32.00367587	1.227889258159e+19	8.118338669814e+18
36.00413535	1.230389207101e+19	9.471810120781e+18
40.00459483	1.128558846205e+19	8.185542824243e+18
44.00505432	1.435417263654e+19	9.547592639740e+18
48.00551380	1.538867935654e+19	9.551811725518e+18
52.00597328	1.641002941763e+19	1.205656898479e+19
56.00643277	1.743683307531e+19	1.219714304998e+19
60.00689225	1.845944049966e+19	1.224702487953e+19
64.00735173	2.152323195924e+19	1.221565119971e+19
68.00781121	2.153230824312e+19	1.616883982867e+19
72.00827070	2.354173754128e+19	1.591264229197e+19
76.00873018	2.841772481645e+19	1.136134027536e+19
80.00918966	2.564598906658e+19	8.093597416336e+18
84.00964915	2.565003006378e+19	8.081373464897e+18
88.01010863	2.565146014045e+19	5.450628438657e+18
92.01056811	2.667694864926e+19	7.940696126552e+18
96.01102760	2.667607843016e+19	7.855401502435e+18
100.01148708	2.769958444952e+19	5.998837271416e+18
104.01194656	3.075270484008e+19	1.208582151918e+19
108.01240605	3.282162397499e+19	1.542291685304e+19
112.01286553	3.177314986179e+19	1.642403260124e+19
116.01332501	2.460875830352e+19	1.835508980731e+19
120.01378450	2.620308263144e+19	1.778658852184e+19
124.01424398	2.619495446193e+19	1.931201366603e+19
128.01470346	2.278439142400e+19	2.461186071064e+19
132.01516295	1.928596583791e+19	2.550841414804e+19
136.01562243	1.822212345532e+19	2.347324845302e+19
140.01608191	1.822599124019e+19	2.417308193616e+19
144.01654140	1.822217033410e+19	2.413947903393e+19
148.01700088	1.936502272631e+19	2.413347108491e+19
152.01746036	1.822487445315e+19	2.417454112520e+19
156.01791985	1.936880317917e+19	2.422876899253e+19
160.01837933	2.049662621826e+19	2.424527971635e+19
164.01883881	1.823373892039e+19	2.424881888461e+19
168.01929830	2.049956677527e+19	2.424570817022e+19
172.01975778	1.823267986660e+19	2.424240263782e+19
176.02021726	2.048441337157e+19	2.272380792466e+19
180.02067675	2.164988474254e+19	2.423634454980e+19
184.02113623	1.937048373318e+19	2.423599554018e+19
188.02159571	2.386174617190e+19	2.422715908400e+19
192.02205520	2.279100615581e+19	1.967787990467e+19
196.02251468	2.278147749948e+19	1.212079457372e+19
200.02297416	2.051405809266e+19	1.664314936658e+19
204.02343364	2.051563140441e+19	1.667107990478e+19
208.02389313	1.937686462145e+19	1.364851236113e+19
212.02435261	1.709813773616e+19	1.364676159768e+19
216.02481209	1.595795120124e+19	1.364316109028e+19
220.02527158	2.165061054411e+19	1.363882739665e+19
224.02573106	2.506121840359e+19	1.256051457561e+19
228.02619054	2.051739613217e+19	9.098940917485e+18
232.02665003	2.051616806994e+19	1.061373095058e+19
236.02710951	2.051558420058e+19	1.061224598290e+19
240.02756899	2.051422494103e+19	1.061037940514e+19
244.02802848	2.051421160372e+19	1.059049324611e+19
248.02848796	2.051100419859e+19	1.068763422353e+19
252.02894744	2.051051722122e+19	1.060560065268e+19
256.02940693	2.050107908528e+19	1.058672736134e+19
260.02986641	1.934605717369e+19	1.058439601518e+19
264.03032589	1.128075169714e+19	1.051456003307e+19
268.03078538	1.505208437176e+18	2.924167437065e+18
272.03124486	1.098375936941e+08	9.432573922227e+06
276.03170434	8.057083960325e+06	3.526860498920e+04
280.03216383	1.219850955574e+06	2.388306677724e+03
284.03262331	2.697981387570e+05	4.861425949373e+02
288.03308279	7.635366394049e+04	1.496998708877e+02
292.03354228	2.581505598581e+04	6.331020340640e+01
296.03400176	1.001352579186e+04	3.659333742841e+01
300.03446124	4.344006951369e+03	2.774446288706e+01
304.03492073	2.073516007384e+03	2.545037056435e+01
308.03538021	1.078745491834e+03	2.630966432509e+01
312.03583969	6.100396694058e+02	2.943501794191e+01
316.03629918	3.778450782581e+02	3.504220868760e+01
320.03675866	2.637959262768e+02	4.424204344519e+01
324.03721814	2.235019486340e+02	5.950585378738e+01
328.03767763	2.637258969117e+02	8.615134008410e+01
332.03813711	4.943036293640e+02	1.365260069872e+02
336.03859659	1.485295238738e+03	2.433539412703e+02
340.03905607	6.919965846420e+03	5.139241753646e+02
344.03951556	5.380945257136e+04	1.477677910113e+03
348.03997504	9.339888491784e+05	1.058247734443e+04
352.04043452	9.778466514878e+07	2.364038055172e+06
356.04089401	3.932128045464e+18	1.446451864603e+18
360.04135349	6.802380846933e+18	4.543439435168e+18
364.04181297	1.128804041391e+19	8.534644515369e+18
368.04227246	1.137980271226e+19	1.058371746937e+19
372.04273194	1.473405837464e+19	1.210670521949e+19
376.04319142	1.695884045151e+19	1.514181531959e+19
380.04365091	1.592811602587e+19	1.513859053042e+19
384.04411039	1.480497780568e+19	1.362434354194e+19
388.04456987	1.479451212515e+19	1.362453815706e+19
392.04502936	1.367133311789e+19	1.210163337013e+19
396.04548884	1.366515913334e+19	1.210581766286e+19
400.04594832	1.253420417717e+19	1.058801896227e+19
404.04640781	1.253220992293e+19	1.057806353854e+19
408.04686729	1.248504898687e+19	9.059764102681e+18
412.04732677	1.139429714577e+19	7.017972206089e+18
416.04778626	1.578997349087e+19	1.351223509347e+19
420.04824574	3.065716265961e+19	2.252865076207e+19
424.04870522	4.206215610530e+19	1.355672076440e+19
428.04916471	3.642106428595e+19	1.502002449753e+19
432.04962419	3.297945380814e+19	1.621919145566e+19
436.05008367	2.274799802812e+19	2.411438518963e+19
440.05054316	2.276833995010e+19	2.118377518905e+19
444.05100264	3.640083278989e+19	1.941643294273e+19
448.05146212	2.958733054146e+19	1.301456969809e+19
452.05192161	2.045501128472e+19	1.514224758573e+18
456.05238109	1.779332559101e+19	5.780355876591e+18
460.05284057	7.706897951171e+18	1.514781130377e+18
464.05330006	5.563852039544e+18	1.513814373826e+18
468.05375954	3.155540588344e+18	1.506274979716e+18
472.05421902	2.745774622592e+09	4.148018635666e+04
476.05467850	4.109133857298e+07	1.074659328424e+02
